customer_id,Books,Electronics,Entertainment,Fashion,Groceries,Health,Home,Office,Restaurants,Sports,Travel
C001,0.01805650901470535,0.8120461032626369,0.0636720020233407,0.06864905878527297,0.03143404270694078,0.0,0.0,0.0,0.006142284207103371,0.0,0.0
C002,0.0,0.33762810661018167,0.0,0.0,0.0,0.0,0.0,0.010033524713526943,0.003344508237842315,0.0,0.6489938604384491
C003,0.3234537030227256,0.29410899463116863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38243730234610573,0.0
C004,0.0,0.30647534952170713,0.0,0.0,0.0,0.0,0.0720505273485406,0.01747608535688006,0.0,0.10117733627667402,0.5028207014961982
C005,0.10023310023310024,0.0,0.0,0.0,0.2909090909090909,0.0,0.6088578088578088,0.0,0.0,0.0,0.0
C006,0.0,0.520924787825578,0.0,0.0,0.479075212174422,0.0,0.0,0.0,0.0,0.0,0.0
C007,0.0,0.0,0.0,0.8722986247544204,0.0,0.0,0.0,0.0,0.12770137524557956,0.0,0.0
C008,0.0,0.0,0.0,0.12553237255323726,0.06138954613895461,0.0,0.0,0.0,0.0,0.0,0.8130780813078081
C009,0.0,0.0,0.20722650177899063,0.0,0.0,0.0,0.2573491312307852,0.0,0.0,0.0,0.5354243669902242
C010,0.0,0.0,0.32580482049553344,0.6741951795044665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C011,0.0,0.0,0.0,0.5198817839871037,0.38393336915636755,0.09618484685652874,0.0,0.0,0.0,0.0,0.0
C012,0.0,0.0,0.8767123287671232,0.0,0.0,0.0,0.0,0.0,0.1232876712328767,0.0,0.0
