customer_id,Groceries,Restaurants,Books,Electronics,Sports,Travel,Home,Entertainment,Fashion,Health
C00001,0.2062609651248362,0.12082201303780238,0.1318095699727485,0.034189809497303374,0.07666912460901985,0.00960654683282785,0.026932349395404353,0.17535076852105286,0.01732167440002516,0.20103717860897938
C00002,0.12791182210006255,0.02204029355599376,0.0263631571746632,0.3810022353832972,0.0004790619391908467,0.1393989454891739,0.2499380234508589,0.0013728425197341936,0.0037767787344371397,0.04771683965258837
C00003,0.08323612266542887,0.10081304620472016,0.013905249162215213,0.026399588987461507,0.07825605239781053,0.13576604851015397,0.16365934460465453,0.014219685073045404,0.14635009584487543,0.2373947665496343
C00004,0.00486160979792452,0.0007834020612666661,1.567341916531069e-08,0.22439581799424602,0.12676323650620658,0.005939332480653488,0.3696218642400273,0.07919431493889001,0.0015866201618118959,0.18685378614555442
C00005,0.09304182608260476,0.09210180017133267,0.01572831567913822,0.0044469212544156825,0.0012783456669789835,0.0030667163983607807,0.1356708271343722,0.05913536047848482,0.018203919375384358,0.5773259677589275
C00006,0.008465050916543771,0.1360436013372505,0.19436442354831707,0.0877821966763126,0.0004141035440335849,0.04769429646570723,0.3151147306223969,0.03967442910301775,0.07784553071001911,0.09260163707640158
C00007,0.0007962796551057969,0.010650576704106567,0.1317379570026607,0.48638904295491414,0.06410630731902332,0.0006304232536464933,0.102201037705563,0.15230156416490204,0.0019622347237479966,0.04922457651633004
C00008,0.00236687310571861,0.01623683116088446,0.0003269716407472877,0.010631449087697555,0.00604464255684922,0.0014311117198409402,0.2277766153146926,0.18682492141244086,0.026773607056305146,0.5215869769448234
C00009,0.1975806095832991,0.04847321193459298,0.027214065074157318,0.018635942312347085,0.0014986730582234303,0.07234736812820909,0.03185164539447874,0.08688535447701606,0.4958061066560361,0.01970702338164015
C00010,0.06679484218101751,0.09773895961786457,0.018733221442818915,0.02708499381492534,0.0043390482389809495,0.028783284486552242,0.06538045066225351,0.011493402000216832,0.10218828564912669,0.5774635119062436
C00011,0.3174287662133911,1.0526031154606147e-06,0.07472764658204478,5.122507981043726e-05,0.1820018240806487,0.1245123397561397,0.21817526701069062,0.0458955872153069,0.0027997545170159945,0.03440653694183629
C00012,0.45399593710967195,0.15850114633440301,0.04403944094341936,0.015643641552111207,0.12103035561958966,0.0389651486149106,0.01523081482154332,0.0012108482690760991,0.14155387939800082,0.009828787337274138
C00013,6.211740830041609e-05,0.044894260934002984,0.004421390962808235,0.02830035502894818,0.00019484667203301266,0.05847922204477087,0.003117780986195727,0.023145272793659098,0.6237566157729098,0.21362813739637154
C00014,0.0014697194114187298,0.5010607293155435,0.06015610622003501,0.00024268970573910562,0.00031552502264206415,0.02752267839742641,0.0004032545029970015,0.4017439998829754,0.0007549764582738193,0.006330321082949052
C00015,0.29786798674824366,0.021227273660217812,0.00035609432132561764,0.0122922395872589,0.0102326474051446,0.0008687568399851702,0.08570485092482366,0.3963679258017534,0.1324782011575791,0.042604023553667825
C00016,0.1727559440667945,0.10520934024845231,0.10836079159833992,0.002957202960019028,0.14480970642614835,0.01432906512720541,0.19993209912618023,0.0010753126793022001,0.0018913966363750194,0.2486791411311831
C00017,0.0590824789940857,0.006711575612496665,0.08225505779001577,0.603357307779725,0.0011308540527472859,0.037501547892324856,0.027102299965439162,0.059881627834512154,0.018778779267425817,0.10419847081122766
C00018,0.040218754926653215,0.020510609211301645,0.026003601873066915,0.22646678273897758,0.23726922131070774,0.20702407669953446,0.0026138179146645815,0.03995427849010033,0.0014232731410724908,0.19851558369392108
C00019,0.23002989722224176,0.18412165538348313,0.09425770308442658,0.0915441615688543,0.10479864061587184,0.03695356687540552,0.05437212898689566,0.04397808269946365,0.15313415644637812,0.006810007116979521
C00020,0.259168142624357,0.023065917916447867,0.011293140366270339,0.10082687539548713,0.2767591188628748,0.00863501637857222,0.08050823504749158,0.023224775264106077,0.004245754371458185,0.2122730237729349
C00021,0.0916996803341422,0.2925304452798828,0.0783511953949961,0.019687035414524278,0.009857674133804459,0.05818407770494168,0.29802593271609057,0.025989699828891887,0.07473943186132882,0.050934827331397176
C00022,0.10498351009141155,0.032944212862064885,0.1913893539555498,0.26265610568159986,1.542019695217453e-05,0.032414729595168106,0.04423505964804317,0.15718777447425447,0.005648098426782223,0.16852573506817384
C00023,0.024601230259323034,0.017270979331348014,0.7327828549714626,0.006259971755658293,0.0005740826765616219,0.04270058817756897,0.14820473837517467,0.006733336206355408,0.01679174329918888,0.004080474947358428
C00024,0.2728681851571571,0.017581437412323826,0.015981273896419013,0.22136854490033736,0.03537189362625156,0.08853116071360002,0.0093611686434063,0.2659736052915327,0.03898307345000851,0.033979656908963596
C00025,0.007832986131745788,0.057497877584112705,0.114347440364716,0.03916749747887261,0.1909661392989101,0.0545591333307033,0.006960265818615513,0.018732963994131657,0.494402938128993,0.01553275786919927
C00026,0.006273917366034044,0.0030302929178301235,0.129691240271194,0.3170690329935589,0.18875328325996313,0.00022781319669449497,0.012444989131515611,0.11531971547048031,0.1282957228865217,0.09889399250620777
C00027,0.3007667164262689,0.14093749652878473,0.14412797629692664,0.001969612525572611,0.049513147270489964,0.06900439108447227,0.1744659025128882,0.010174323833710607,0.1034444252947711,0.005596008226115114
